"Game Name","Game Genre","Thread Title","Title Language","Translated Title","OP","Reply Count","Body Text","Language","Translated Text","URL","Date/Time Posted (PST)","Date/Time Collected (GMT)","Class"
"Hello Neighbor","Horror","Hello Neighbor inicia el juego pero no me dejar dar ""Enter"" para iniciar el menu","es","Hello Neighbor starts the game but don't let me give ""Enter"" to start the menu","Paulodybala21","1","Hola buenas, compre Hello Neighbor 1, el juego inicia, pero solo llega hasta donde me pide presionar enter y presionó enter pero no deja avanzar","es","Hello good, buy Hello Neighbor 1, the game starts, but it only gets to where it asks me to press enter and press enter but does not let go","https://steamcommunity.com/app/521890/discussions/1/6266252158289388849/","19/09/23 13:04","18/01/2024 04:33:48","Bug Report"
"Hello Neighbor","Horror","the game doesn't open","en","-","Vini","1","the game doesn't open","en","-","https://steamcommunity.com/app/521890/discussions/1/6266252158287826676/","14/09/23 10:05","18/01/2024 04:33:48","Bug Report"
"Hello Neighbor","Horror","Игра не сразу-же вылетает что делать?","ru","The game doesn't fly right away. What do you do?","уга буга","1","проходит черный фон с часами и все, игра вылетает","ru","There's a black background with a watch, and that's it, the game's out.","https://steamcommunity.com/app/521890/discussions/1/6266252158287826331/","14/09/23 22:38","18/01/2024 04:33:52","Bug Report"
"Hello Neighbor","Horror","Cannot Play Game Because Network.","en","-","TheBiongBhon688","1","I read the devs message but its probably because i have a LAPTOP, A ACER LAPTOP.","en","-","https://steamcommunity.com/app/521890/discussions/1/6266252158287824552/","16/09/23 14:58","18/01/2024 04:33:53","Bug Report"
"Hello Neighbor","Horror","Помогите с решение проблемы!!!","ru","Help with the problem!!!!","MAO","2","при запуске игры игра загружается а потом самаже закрывается без ошибки","ru","When the game starts, the game is loaded and then the self-image closes without error.","https://steamcommunity.com/app/521890/discussions/1/6266252158287822838/","17/09/23 10:23","18/01/2024 04:33:57","Bug Report"
"Hello Neighbor","Horror","Игра сразу-же вылетает что делать?","ru","What's the game gonna do?","уга буга","4","проходит черный фон с часами и все, игра вылетает","ru","There's a black background with a watch, and that's it, the game's out.","https://steamcommunity.com/app/521890/discussions/1/6266252158287823617/","14/09/23 22:39","18/01/2024 04:34:01","Bug Report"
"Hello Neighbor","Horror","The Neighbor flies","en","-","Diavol X","0","I was playing I wanted to burgle the neighbor's house in act 1 but the neighbor took (I didn't know he could do that) the TV so I heard strange sounds and I started seeing the Neighbor flying holding the TV the problem was that the last time that I made him fly away because he kicked an armchair while he was on it and started flying so far that he fell off the map and the game crashed. so he was now under the map and was slowly going down until the game crashed but luckily he had grabbed me first and brought me to the neighbor's nightmare so the game had automatically saved and when it crashed I was back at the same point I entered the house I took the bucket and before he went to where the TV is I took it away from him","en","-","https://steamcommunity.com/app/521890/discussions/1/6266251726415120397/","17/09/23 05:51","18/01/2024 04:34:02","Bug Report"
"Hello Neighbor","Horror","Mods dont appear ingame","en","-","Maximos Ve","0","I install mods but they do not appear ingame. I checked the mods folder and the mods are installed, but does not appear ingame","en","-","https://steamcommunity.com/app/521890/discussions/1/6266251726412088614/","16/09/23 09:58","18/01/2024 04:34:03","Bug Report"
"Hello Neighbor","Horror","How do I fix this","en","-","GooberGaming","2","I wanted to play hello neighbor but for some reason when I started it all of the screen things like the menu is a bit small but the games main screen is not small so how do I fix this","en","-","https://steamcommunity.com/app/521890/discussions/1/6266252158287827291/","11/09/23 07:42","18/01/2024 04:34:03","Bug Report"
"Hello Neighbor","Horror","crash","en","-","MYSTIC","1","des que je lance mon jeu il se ferme","fr","as soon as I throw my game it closes","https://steamcommunity.com/app/521890/discussions/1/3824172831338036859/","25/08/23 09:47","18/01/2024 04:34:07","Bug Report"
"Hello Neighbor","Horror","Game won't start","nl","Game won't start","cat_man3000","6","почему у меня закрывается игра после несколких секунд открития?
 
Why do it close the game after a few seconds of opening?","ru","Why do I have to close the game after seconds of recrimination?","https://steamcommunity.com/app/521890/discussions/1/3824172831334096108/","11/08/23 04:04","18/01/2024 04:34:10","Bug Report"
"Hello Neighbor","Horror","Got so many Crashes at Act 3","en","-","L00n4tic","1","♥♥♥♥♥♥♥♥ i got so many crashes in act 3 , anyone else and try to fix it?","en","-","https://steamcommunity.com/app/521890/discussions/1/3824172831334087349/","22/08/23 10:22","18/01/2024 04:34:11","Bug Report"
"Hello Neighbor","Horror","cant play","en","-","ernestoper34","5","when i click the play it dosnt let me play it just kicks me out","en","-","https://steamcommunity.com/app/521890/discussions/1/3807282258515274752/","30/07/23 19:53","18/01/2024 04:34:12","Bug Report"
"Hello Neighbor","Horror","Inputs not working on title screen","en","-","NormireX","0","Game gets to title screen but none of the keyboard keys do anything nor does any buttons on a controller.","en","-","https://steamcommunity.com/app/521890/discussions/1/3807282428860076815/","05/08/23 12:54","18/01/2024 04:34:13","Bug Report"
"Hello Neighbor","Horror","HELP ME MY GAME IS HAVING A PROBLEM","en","-","Burger Cat.","4","WHEN I START IT SAYS \""failed to load plugin\"" Then it shows 3 mods Second problem After I Start It Freezes At TinyBuild I NEED HELP","en","-","https://steamcommunity.com/app/521890/discussions/1/5782106519346462670/","16/06/23 14:50","18/01/2024 04:34:13","Bug Report"
"Hello Neighbor","Horror","i can't play","en","-","radicalrippley","6","when i start the game it says \""files corrupted, please verify installations\"" then i get a black screen. if anyone knows how to fix that please tell me !!!","en","-","https://steamcommunity.com/app/521890/discussions/1/3811780955331404996/","25/05/23 11:33","18/01/2024 04:34:14","Bug Report"
"Hello Neighbor","Horror","Crashes","en","-","gdyeetus","3","Once The Main Menu Loads, The Game Crashes.\nHow Do I Fix It?","en","-","https://steamcommunity.com/app/521890/discussions/1/3811780955331408994/","02/05/21 12:26","18/01/2024 04:34:15","Bug Report"
"Hello Neighbor","Horror","All the Keys don't open thd doors","en","-","mario.primo","0","with any key I try to open the respective doors they do not work","en","-","https://steamcommunity.com/app/521890/discussions/1/3834298505958547542/","02/06/23 09:52","18/01/2024 04:34:15","Bug Report"
"Hello Neighbor","Horror","help me pls","nl","help me pls","𝕰𝖒𝖎𝖗","4","I was able to open this game on my old computer, but I switched to a new and better computer, but it doesn't open anymore, when I try to open the game, it closes on the loading screen, please help","en","-","https://steamcommunity.com/app/521890/discussions/1/3829793451745894786/","19/05/23 11:11","18/01/2024 04:34:16","Bug Report"
"Hello Neighbor","Horror","Help! When I try to run Hello Neighbor, It opens the tab then stops running!","en","-","Lil Sebs","4","try to run but closes the tab","en","-","https://steamcommunity.com/app/521890/discussions/1/3827541017493401031/","07/05/23 17:29","18/01/2024 04:34:16","Bug Report"
"Hello Neighbor","Horror","Crash","en","-","astronomo  ︻   一","1","When I open the game, it stays in the screen of the clock loading (the first loading screen) and then it crashes. Someone knows what could it be?","en","-","https://steamcommunity.com/app/521890/discussions/1/3827540383542423966/","06/05/23 09:25","18/01/2024 04:34:17","Bug Report"
"Hello Neighbor","Horror","HELP HELP HELP!","vi","HEARN HEAD!","QutisBrutus","10","HELP, I PLAYED HELLO NEIGHBOR ON ANOTHER MONITOR AND NOW THE RESOLUTION IS STUCK ON 1280 x 720 AND THAT IS THE MAX RESOLUTION HEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEELP!!!!!!!!","en","-","https://steamcommunity.com/app/521890/discussions/1/3765607648969885585/","29/01/23 00:17","18/01/2024 04:34:18","Bug Report"
"Hello Neighbor","Horror","Запуск игры","ru","Playing the game","ЛиАЗ 5293.60","1","Здравствуйте, разработчики. Зря у вас купил игру! Запускаю игру, часики начинают крутиться, а затем сразу вылетает. Подскажите, что мне делать в этой ситуации.","ru","Hello, developers, I shouldn't have bought the game from you, I start the game, the clock starts spinning, and then it flies out, so tell me what to do in this situation.","https://steamcommunity.com/app/521890/discussions/1/6169410992325497021/","19/04/23 11:28","18/01/2024 04:34:23","Bug Report"
"Hello Neighbor","Horror","Game does not start","af","Game does not start","pataklapat","4","I've been trying to launch this game and unfortunately no luck.","en","-","https://steamcommunity.com/app/521890/discussions/1/3826410479313363037/","19/03/23 16:50","18/01/2024 04:34:24","Bug Report"
"Hello Neighbor","Horror","yapacağınız oyunun damına sarkayım","tr","I'm going to hit the roof of the game you're going to play.","ahmijumping","2","bu mk oyununa para ödediysem neden korsan oyun oynar gibi wi-fi yi kapatmam gerekiyor","tr","If I paid for this mk game, why do I have to turn off the wi-fi like I'm playing pirate games?","https://steamcommunity.com/app/521890/discussions/1/3828664382482899541/","09/04/23 13:10","18/01/2024 04:34:28","Bug Report"
"Hello Neighbor","Horror","audio does not work properly","af","Error reading file %1: %2","RANGOD","0","every time I press escape i can hear a little *pip* but aside from that there is no game audio. I have restarted the game and my computer as well as messing with audio settings but to no avail. I am genuinely surprised there is no audio settings menu in this game","en","-","https://steamcommunity.com/app/521890/discussions/1/3828664145919398933/","10/04/23 09:49","18/01/2024 04:34:29","Bug Report"
"Hello Neighbor","Horror","when i click play the game is closing","en","-","𝖚𝖗 𝖉𝖊𝖆𝖉","1","I only want to play the hello neighbor :(","en","-","https://steamcommunity.com/app/521890/discussions/1/5769715023489938382/","03/04/23 07:20","18/01/2024 04:34:29","Bug Report"
"Hello Neighbor","Horror","I lost item to pass the game","en","-","Karlo178","0","When I was putting globe in frige its just disapear or something.","en","-","https://steamcommunity.com/app/521890/discussions/1/3820781363201156931/","26/03/23 03:00","18/01/2024 04:34:30","Bug Report"
"Hello Neighbor","Horror","please help","en","-","korybrice","2","When i play it says game has crashed and will close it also says its because of a hello_billy mod so i uninstalled hello billy but did not work is it a file or something someone or tiny build or dynamic pixles please help","en","-","https://steamcommunity.com/app/521890/discussions/1/5675129542145308739/","19/12/22 15:34","18/01/2024 04:34:31","Bug Report"
"Hello Neighbor","Horror","game will not load my previous saved files.","en","-","mad_dog_griffey","1","i just built a new computer after selling my old one a couple months ago, all my old games have no problem loading my last saved data from said couple months ago but after reinstalling hello neighbor it wont load any of my previous saves and wants me to start a new game. is there a way to force sync from steam or am i just out the progress ive made? thanks for any and all help.","en","-","https://steamcommunity.com/app/521890/discussions/1/3782499798639659966/","13/03/23 23:02","18/01/2024 04:34:31","Bug Report"
"Hello Neighbor","Horror","My game don't work","en","-","MixowwYT","3","When i try to open Hello Neighbor it don't open and show this:\n---------------------------\nMessage (name of the window)\n---------------------------\nPlugin 'AppleARKit' failed to load because module 'AppleARKit' could not be found.  Please ensure the plugin is properly installed, otherwise consider disabling the plugin for this project.\n---------------------------\nOK   (button)\n---------------------------","en","-","https://steamcommunity.com/app/521890/discussions/1/3787002719318627697/","06/03/23 06:14","18/01/2024 04:34:32","Bug Report"
"Hello Neighbor","Horror","Как пофиксить игру?","ru","How do you fix the game?","< blank >","1","Как пофиксить что не могу играть в игру когда включен интернет (игра просто не запускаеться). Чтобы зайти нужно включить интернет, но если потом включить его при первом сломанном окне она крашнет. Как починить?","ru","How can I make sure I can't play the game when the Internet is on?","https://steamcommunity.com/app/521890/discussions/1/3787002719315078610/","03/03/23 20:08","18/01/2024 04:34:36","Bug Report"
"Hello Neighbor","Horror","deseo rembolso","pt","Translation Failed","nachonadalnachet","2","me pillle el juego ayer no me funciona exactamente bien y hoy e porbado a entrar en l videojuego y no ,e carga y no hay ninguna manera de entrar no se por que es esto pero deseo mi dinero de vuelta dado que solo pude superar tanto com l acto 1 como el 2","es","I caught the game yesterday doesn't work exactly well and today I was forced to go into the video game and no load and there's no way to get in I don't know why it's this but I want my money back since I could only get over both act 1 and act 2","https://steamcommunity.com/app/521890/discussions/1/3777994854961241006/","04/01/23 10:56","18/01/2024 04:34:41","Bug Report"
"Hello Neighbor","Horror","игра вылетает сразу же","ru","The game's coming out right away.","поп смоук","1","я купил игру, захожу в нее, и она сразу же вылетает, что делать?","ru","I bought a game, I go into it, and it goes right out, what do you do?","https://steamcommunity.com/app/521890/discussions/1/3765608728347609204/","12/02/23 04:37","18/01/2024 04:34:46","Bug Report"
"Hello Neighbor","Horror","Hello Neighbor No abre","en","-","pessimistboy","3","Cada vez que apreto jugar el juego se abre y al pasado pocos segundos se cierra automaticamente . Alguno me pueda dar una solucion?","es","Every time I squeeze play the game opens and in the past few seconds it automatically closes. Can anyone give me a solution?","https://steamcommunity.com/app/521890/discussions/1/3734079155596354874/","29/12/22 10:53","18/01/2024 04:34:49","Bug Report"
"Hello Neighbor","Horror","please help","en","-","engineer (!!!!!!11!!!1)","0","hello neighbor modkit crashes when clicking play","en","-","https://steamcommunity.com/app/521890/discussions/1/3765607648970407837/","01/02/23 11:59","18/01/2024 04:34:50","Bug Report"
"Hello Neighbor","Horror","please help","en","-","engineer (!!!!!!11!!!1)","0","hello neighbor modkit crashes when clicking play","en","-","https://steamcommunity.com/app/521890/discussions/1/3765607648976759603/","01/02/23 11:59","18/01/2024 04:34:51","Bug Report"
"Hello Neighbor","Horror","game crashes after launching","en","-","Shadow_NZ","11","i load up hello neighbor and it crashes on the loading screen","en","-","https://steamcommunity.com/app/521890/discussions/1/3721693063165578373/","11/12/22 14:36","18/01/2024 04:34:51","Bug Report"
"Hello Neighbor","Horror","help i cant see my mods i download in modding","cy","help to see Do I'm incoming mode","ADBat","0","help please","en","-","https://steamcommunity.com/app/521890/discussions/1/3734079567820261005/","31/12/22 19:31","18/01/2024 04:34:52","Bug Report"
"Hello Neighbor","Horror","Max Resolution of 1600x900..","en","-","Sleepy joe","4","The game is giving me resolution of 1600x900 as a limit, how can I fix it to 1920x1080? (I don't have the option in the settings of the game to make the resolution above 1600x900)","en","-","https://steamcommunity.com/app/521890/discussions/1/5675129542144916588/","20/12/22 01:40","18/01/2024 04:34:52","Bug Report"
"Hello Neighbor","Horror","juego se cierra al iniciarlo","es","game closes when you start it","adolfo_saiz","1","El juego se cierra al iniciarlo no se que problema puede haber, he probado a verificar los archivos locales pero no se soluciona.
Alguien podría darme una solución?
Gracias","es","The game closes when you start it I don't know what problem there may be, I have tried to verify the local files but it doesn't fix. Someone could give me a solution? Thank you","https://steamcommunity.com/app/521890/discussions/1/3734078642256965004/","22/12/22 01:39","18/01/2024 04:34:57","Bug Report"
"Hello Neighbor","Horror","I cant put items on shopping car please help me","en","-","alp20006","2","I really cant put any item on shopping cart and the puppets folling then time limit I get mad Im not a bad player but when I try to put items on car items are flying","en","-","https://steamcommunity.com/app/521890/discussions/1/3717188244462751246/","03/12/22 11:01","18/01/2024 04:34:58","Bug Report"
"Hello Neighbor","Horror","cant open hello neighbor?","en","-","mags.smith10","9","whenever i  try to lunch the game it wont open cane any one help?","en","-","https://steamcommunity.com/app/521890/discussions/1/3600094457161818001/","24/11/22 12:58","18/01/2024 04:34:58","Bug Report"
"Hello Neighbor","Horror","MENU BUG","de","MENU BUG","mapuche jujeño","0","I can't move in the menu, i just can click enter and esc.\nI want to start a new game.","en","-","https://steamcommunity.com/app/521890/discussions/1/3721693063165585948/","09/12/22 05:53","18/01/2024 04:34:59","Bug Report"
"Hello Neighbor","Horror","Игра вылетает и не запускается с интернетом.","ru","The game goes off and doesn't run with the Internet.","MrDenkur","3","Здравствуйте,можете пожалуйста подсказать.Когда я запускаю игру то на фоне тикают часы и вылетает а без интернета все прекрасно работает.","ru","Hello, can you please give me a hint? When I run the game, the clock is ticking in the background and flying out, and without the Internet, everything works perfectly.","https://steamcommunity.com/app/521890/discussions/1/3721692478274642301/","20/06/22 09:50","18/01/2024 04:35:04","Bug Report"
"Hello Neighbor","Horror","game wont start","nl","game wont start","Evenstar","4","I have wanted to play this game forever, the concept sounds so fun, but.... I finally got it and it wont start, ill hold out for a few days hoping it gets fixed. the work arounds didnt seem to help","en","-","https://steamcommunity.com/app/521890/discussions/1/3721692478274643662/","01/12/22 12:54","18/01/2024 04:35:04","Bug Report"
"Hello Neighbor","Horror","Game Will Not Start","en","-","Deadly_Gamer","2","I have recently purchased the game named Hello Neighbour, and started to download it. When it was finished downloading, I started to click on the game and showed the normal launching screen, but after a few minutes it kicks me out to my steam page, and does not launch the game. I have also tried to uninstall it, and reinstall it but still shows the same result. I also shut down my PC and did the same thing but still does not work. I have know idea why this is happening so if anyone knows on how to fix this, please let me know so I can play","en","-","https://steamcommunity.com/app/521890/discussions/1/3721692478274641488/","05/12/22 03:07","18/01/2024 04:35:05","Bug Report"
"Hello Neighbor","Horror","想问问怎么解决Hello Neighbor1的卡退问题","no","Translation Failed","孩子们，想我了吗？","1","就刚进去加载就卡退出来了，不知道是什么问题","zh-cn","I just got in and loaded and I quit. I don't know what the problem is.","https://steamcommunity.com/app/521890/discussions/1/5230393378279360408/","17/10/22 03:46","18/01/2024 04:35:09","Bug Report"
"Hello Neighbor","Horror","НЕ ЗАПУСКАЕТСЯ HELLO NEIGHBOR","vi","GREELO NEIGHBOR","Natw1k","2","купил игру, не запускается. Нажимаю играть, доходит до загрузки с будильником и останавливается, потом вылетает и закрывается","ru","Got the game, doesn't start, presses the game, hits the alarm and stops, then flies out and closes.","https://steamcommunity.com/app/521890/discussions/1/3600094457165872955/","29/11/22 08:15","18/01/2024 04:35:13","Bug Report"
"Hello Neighbor","Horror","game launches then crashes","en","-","Concept","99","im on a 64 bit windows with core i9 11700f 32 gb ram and a 3060 ti. for some reason the 64 bit version doesnt work. i tried the 32 bit but mods dont work on it. can anyone help me get the 64 bit version working? it just opens and when the loading clock appears the game crashes","en","-","https://steamcommunity.com/app/521890/discussions/1/3367027031774582840/","03/11/21 12:58","18/01/2024 04:35:14","Bug Report"
"Hello Neighbor","Horror","pls help","nl","pls help","ImLimb0","4","when i click select act or new game its crashes on the clock loading screen","en","-","https://steamcommunity.com/app/521890/discussions/1/3600094457161817759/","26/11/22 11:52","18/01/2024 04:35:15","Bug Report"
"Hello Neighbor","Horror","Can't open?","nl","Can't open it?","Kipaku","1","Anyone else not able to open the game? I've uninstalled and re-installed twice and it just starts up but then closes before I get to the menu..","en","-","https://steamcommunity.com/app/521890/discussions/1/3549427890058295374/","15/11/22 16:05","18/01/2024 04:35:15","Bug Report"
"Hello Neighbor","Horror","Hello Neighbor no abre...","it","Hello Neighbor no abre...","HENRY_GAMER1221","2","Ayuda gente. Al momento de abrir el juego, carga un rato luego se cierra. ¿Alguna idea de por qué?","es","Help people, when you open the game, load up for a while, then it closes, any idea why?","https://steamcommunity.com/app/521890/discussions/1/5350867208718711424/","13/11/22 14:06","18/01/2024 04:35:19","Bug Report"
"Hello Neighbor","Horror","beug","de","Bend","leonardo martinez","1","bonjour je vien d'acheter le jeu et quand je lance sa me fait quitter le jeu pk ?","fr","Hello, I've just bought the game and when I throw it I'm leaving the pk game?","https://steamcommunity.com/app/521890/discussions/1/5350867208718714442/","01/11/22 05:38","18/01/2024 04:35:23","Bug Report"
"Hello Neighbor","Horror","hello neighbor not working","en","-","budimand473","4","i need help! every time i opened hello neighbor game.it crashing!","en","-","https://steamcommunity.com/app/521890/discussions/1/5350867208718713858/","21/07/22 19:53","18/01/2024 04:35:24","Bug Report"
"Hello Neighbor","Horror","не запускается HELLO NIEGHBOR","ru","HELLO NIEGHBOR does not start","_TOSVA_","1","когда я захожу в игру у меня сразу же вылетает и не не одной ошибки просто вылетает и все что делать помогите","ru","When I'm in the game, I'm out of here, and there's more than one mistake just goes out and all you have to do is help me out.","https://steamcommunity.com/app/521890/discussions/1/5350867208718691984/","14/11/22 02:28","18/01/2024 04:35:29","Bug Report"
"Hello Neighbor","Horror","Hello Neighbor crash when loading the game","en","-","DAYVUUN","5","Think I found the fix to this... Before you boot this game up, ensure that you have the Epic Games Launcher downloaded and updated.  Find Hello Neighbor in your steam library, right click and hit properties, hit local files, then browse. Look for the Engine folder, then find the Extras folder, next go into the Redist folder, then the en-us folder. You will see something called UE4PrereqSetup_x64, double click it and ensure that you also have this downloaded before opening up the game. \n\nAfter ensuring that you have all of that done, type env into your windows search bar and find ~Edit the system environment variables~. Make sure you are in the Advanced tab and at the bottom right you will see Environment Variables, click it. NOW MAKE SURE YOU ARE UNDER System variables and hit New... \n\nFor the Variable name: OPENSSL_ia32cap\nFor the Variable value: ~0x20000000\n\nHit Save and this should fix the problem. If it still isn't working, try running the game at a lower frame rate. Had another game that was crashing on me and this fixed the game as well. Hope this helps out.","en","-","https://steamcommunity.com/app/521890/discussions/1/3318611373470443399/","17/12/21 02:57","18/01/2024 04:35:29","Bug Report"
"Hello Neighbor","Horror","Crashing on launch [Windows]","en","-","Hellarious","2","Its crashing when i'm just trying to start it. No error message. Please help","en","-","https://steamcommunity.com/app/521890/discussions/1/3385043165904873889/","09/10/22 22:03","18/01/2024 04:35:30","Bug Report"
"Hello Neighbor","Horror","Not starting","sv","Not starting","Green","2","I click to install the game the download bar shows up then it goes away? anyone know how to fix this?","en","-","https://steamcommunity.com/app/521890/discussions/1/3367027031792461701/","16/07/17 07:01","18/01/2024 04:35:30","Bug Report"
"Hello Neighbor","Horror","Can't open the game","en","-","Canaima","3","When I try to play, I press the execute button on Steam, the game launches but 2 seconds later it automatically closes. Does somebody know why this happens?ːsteamsadː","en","-","https://steamcommunity.com/app/521890/discussions/1/3367027031792462554/","03/01/22 06:20","18/01/2024 04:35:31","Bug Report"
"Hello Neighbor","Horror","My Game Hello neigbouhr crashed after starting?","en","-","Caps","1","I recently checked out Hello neighbor on Steam\nbought and after i installed it,\nand then started it it crashed over and over again\nWhich is a shame because I really like this game.\nI really hope you can help me.\n\nSincerely, Dennis!","en","-","https://steamcommunity.com/app/521890/discussions/1/4650551739537357795/","09/09/22 08:21","18/01/2024 04:35:32","Bug Report"
